id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,9327.32,1.0,6839190000.0,157733375788,16910900.0,16910900.0,21000000.0,-0.39,6.47,-18.12,1520678064,1
ethereum,Ethereum,ETH,2,724.984,0.0781557,1852580000.0,71119339716.0,98097806.0,98097806.0,,-0.63,7.7,-16.04,1520678052,1
ripple,Ripple,XRP,3,0.825801,0.00008902,735938000.0,32282176940.0,39091956706.0,99992520283.0,100000000000,-1.25,6.07,-9.25,1520678041,1
bitcoin-cash,Bitcoin Cash,BCH,4,1043.05,0.112445,421873000.0,17741889356.0,17009625.0,17009625.0,21000000.0,-0.71,8.13,-18.65,1520678052,1
litecoin,Litecoin,LTC,5,187.153,0.0201757,855816000.0,10398818212.0,55563193.0,55563193.0,84000000.0,-0.2,12.75,-12.65,1520678041,1
neo,NEO,NEO,6,91.6289,0.0098779,175724000.0,5955878500.0,65000000.0,100000000.0,100000000.0,-0.51,10.04,-26.96,1520678047,1
stellar,Stellar,XLM,7,0.309228,0.00003334,31832600.0,5720228811.0,18498418032.0,103748462367,,-1.02,8.72,-3.42,1520678043,1
cardano,Cardano,ADA,8,0.217618,0.00002346,177972000.0,5642197236.0,25927070538.0,31112483745.0,45000000000.0,-1.36,8.79,-27.05,1520678054,1
monero,Monero,XMR,9,285.413,0.0307685,111204000.0,4511940962.0,15808463.0,15808463.0,,-1.9,11.73,-20.18,1520678042,1
eos,EOS,EOS,10,6.06996,0.00065436,328544000.0,4361802558.0,718588353.0,900000000.0,1000000000.0,-1.62,7.94,-25.3,1520678051,1
dash,Dash,DASH,11,516.271,0.0556557,100824000.0,4097841244.0,7937384.0,7937384.0,18900000.0,-0.5,14.38,-14.69,1520678041,1
iota,IOTA,MIOTA,12,1.42771,0.00015391,43678300.0,3968363180.0,2779530283.0,2779530283.0,2779530283.0,-0.54,13.62,-24.72,1520678050,1
nem,NEM,XEM,13,0.353263,0.00003808,34486600.0,3179367000.0,8999999999.0,8999999999.0,,0.49,2.89,-10.81,1520678044,1
tron,TRON,TRX,14,0.0371067,0.00000400,287728000.0,2439698454.0,65748192475.0,100000000000,,-0.69,13.44,-25.26,1520678053,1
tether,Tether,USDT,15,1.00454,0.00010829,2596050000.0,2227206633.0,2217140814.0,2280109970.0,,0.27,0.47,0.59,1520678045,1
ethereum-classic,Ethereum Classic,ETC,16,22.0284,0.00237473,349710000.0,2211791350.0,100406355.0,100406355.0,,-1.39,3.34,-25.24,1520678046,1
vechain,VeChain,VEN,17,3.71717,0.00040072,77047300.0,1788447591.0,481131504.0,873378637.0,,-0.61,9.87,-17.92,1520678052,1
nano,Nano,NANO,18,11.8193,0.00127416,73696100.0,1574901505.0,133248289.0,133248289.0,133248290.0,-1.25,25.44,-23.06,1520678049,1
lisk,Lisk,LSK,19,15.3087,0.00165033,23054100.0,1571659081.0,102664438.0,118881084.0,,-0.63,8.24,-20.17,1520678046,1
omisego,OmiseGO,OMG,20,14.3134,0.00154304,54239500.0,1460575860.0,102042552.0,140245398.0,,-0.24,16.45,-21.4,1520678051,1
bitcoin-gold,Bitcoin Gold,BTG,21,85.2656,0.00919192,23365100.0,1438587227.0,16871836.0,16971836.0,21000000.0,-1.1,7.87,-23.62,1520678055,1
qtum,Qtum,QTUM,22,19.2714,0.00207753,138721000.0,1424892165.0,73938176.0,100438176.0,,-1.31,6.25,-25.88,1520678050,1
zcash,Zcash,ZEC,23,309.887,0.0334069,66232500.0,1068500060.0,3448031.0,3448031.0,,-0.76,7.44,-20.83,1520678047,1
icon,ICON,ICX,24,2.71725,0.00029293,14672400.0,1049245746.0,386142514.0,400230000.0,,-0.18,13.81,-27.41,1520678055,1
binance-coin,Binance Coin,BNB,25,8.13223,0.00087668,41964800.0,805204621.0,99014000.0,197192382.0,,-0.49,10.25,-21.17,1520678052,1
digixdao,DigixDAO,DGD,26,370.722,0.0399651,25117000.0,741444000.0,2000000.0,2000000.0,,-2.8,27.43,-20.06,1520678046,1
steem,Steem,STEEM,27,2.58629,0.00027881,4137140.0,651945658.0,252077554.0,269051648.0,,-0.58,10.91,-24.88,1520678046,1
populous,Populous,PPT,28,16.8814,0.00181988,3484300.0,624679780.0,37004027.0,53252246.0,53252246.0,-2.2,24.39,-19.94,1520678053,1
bytecoin-bcn,Bytecoin,BCN,29,0.00331962,0.00000036,4660380.0,610058605.0,183773626338,183773626338,184470000000,-0.32,10.5,-23.3,1520678042,1
waves,Waves,WAVES,30,5.88799,0.00063474,23610500.0,588799000.0,100000000.0,100000000.0,,-0.55,2.79,-13.59,1520678047,1
verge,Verge,XVG,31,0.04005,0.00000432,13611400.0,588542317.0,14695188928.0,14695188928.0,16555000000.0,-0.77,14.05,-31.0,1520678044,1
stratis,Stratis,STRAT,32,5.75803,0.00062073,6092050.0,568726757.0,98771065.0,98771065.0,,-0.79,11.14,-32.82,1520678047,1
maker,Maker,MKR,33,824.769,0.0889129,1323870.0,509895100.0,618228.0,1000000.0,,-1.07,3.97,-18.88,1520678048,1
rchain,RChain,RHOC,34,1.4159,0.00015264,804984.0,508887589.0,359409272.0,870663574.0,1000000000.0,-1.95,9.25,-22.93,1520678053,1
status,Status,SNT,35,0.144761,0.00001561,37428900.0,502390704.0,3470483788.0,6804870174.0,,-0.98,3.98,-7.79,1520678051,1
dogecoin,Dogecoin,DOGE,36,0.0041916,0.00000045,12686400.0,475874023.0,113530399613,113530399613,,-1.21,9.57,-24.59,1520678043,1
siacoin,Siacoin,SC,37,0.0137888,0.00000149,4166670.0,455121820.0,33006629997.0,33006629997.0,,-0.73,9.15,-33.84,1520678045,1
bitshares,BitShares,BTS,38,0.170481,0.00001838,9758030.0,445023602.0,2610400000.0,2610400000.0,3600570502.0,-1.35,7.48,-25.81,1520678043,1
decred,Decred,DCR,39,63.5364,0.00684944,857696.0,438746736.0,6905439.0,7325439.0,21000000.0,-0.22,12.08,-21.47,1520678045,1
aeternity,Aeternity,AE,40,1.87233,0.00020184,2851720.0,436291221.0,233020472.0,273685830.0,,-0.56,7.53,-19.63,1520678050,1
augur,Augur,REP,41,37.0947,0.00399893,2438020.0,408041700.0,11000000.0,11000000.0,,-0.03,6.95,-21.29,1520678045,1
waltonchain,Waltonchain,WTC,42,16.3119,0.00175847,8513280.0,406136590.0,24898178.0,70000000.0,100000000.0,-0.3,10.35,-16.98,1520678053,1
veritaseum,Veritaseum,VERI,43,182.189,0.0196405,611377.0,371054396.0,2036645.0,100000000.0,,-2.18,11.55,-23.11,1520678050,1
komodo,Komodo,KMD,44,3.42809,0.00036956,1433150.0,356274940.0,103928118.0,103928118.0,,-1.13,13.01,-24.16,1520678048,1
bytom,Bytom,BTM,45,0.359771,0.00003878,17659900.0,355093977.0,987000000.0,1407000000.0,,-0.43,8.63,-8.03,1520678052,1
0x,0x,ZRX,46,0.663384,0.00007151,4709100.0,342737134.0,516649685.0,1000000000.0,,-1.57,14.01,-29.71,1520678052,1
ark,Ark,ARK,47,3.32324,0.00035826,1058170.0,336109217.0,101139014.0,132389014.0,,-0.16,10.54,-24.74,1520678049,1
electroneum,Electroneum,ETN,48,0.05231,0.00000564,1633830.0,333816697.0,6381508252.0,6381508252.0,21000000000.0,0.19,12.71,-27.84,1520678055,1
cryptonex,Cryptonex,CNX,49,6.67866,0.00071998,165985.0,301587014.0,45156815.0,106594441.0,210000000.0,-0.22,9.83,-16.34,1520678054,1
kucoin-shares,KuCoin Shares,KCS,50,3.26359,0.00035183,776811.0,297127272.0,91043076.0,181043076.0,,0.01,13.76,-21.52,1520678055,1
ardor,Ardor,ARDR,51,0.295138,0.00003182,4432510.0,294842713.0,998999495.0,998999495.0,998999495.0,-0.68,4.64,-29.68,1520678047,1
syscoin,Syscoin,SYS,52,0.531266,0.00005727,1789550.0,282362372.0,531489635.0,531489635.0,888000000.0,-0.97,4.52,-25.18,1520678043,1
zilliqa,Zilliqa,ZIL,53,0.0423414,0.00000456,16484400.0,279678791.0,6605326966.0,12600000000.0,,-1.71,24.42,-8.05,1520678059,1
dragonchain,Dragonchain,DRGN,54,1.17183,0.00012633,2156780.0,279389982.0,238421940.0,433494437.0,,-0.51,14.44,-22.66,1520678056,1
basic-attention-token,Basic Attention Token,BAT,55,0.278705,0.00003005,5270110.0,278705000.0,1000000000.0,1500000000.0,,-1.11,13.75,-28.48,1520678050,1
hshare,Hshare,HSR,56,6.34058,0.00068353,21734400.0,270868462.0,42719824.0,42719824.0,84000000.0,0.49,9.16,-33.71,1520678052,1
golem-network-tokens,Golem,GNT,57,0.315544,0.00003402,5112900.0,263246369.0,834262000.0,1000000000.0,,-0.37,14.07,-26.18,1520678048,1
gas,Gas,GAS,58,26.708,0.00287921,6587240.0,262784312.0,9839161.0,15866688.0,100000000.0,-0.6,15.29,-30.55,1520678051,1
digibyte,DigiByte,DGB,59,0.0263884,0.00000284,2020710.0,262614905.0,9951907072.0,9951907072.0,21000000000.0,0.13,7.6,-25.62,1520678041,1
pivx,PIVX,PIVX,60,4.69186,0.0005058,1276000.0,261482808.0,55731162.0,55731162.0,,-0.29,8.04,-24.45,1520678046,1
monacoin,MonaCoin,MONA,61,4.2687,0.00046018,2928670.0,247429539.0,57963675.0,57963675.0,,-1.21,8.19,-20.92,1520678041,1
aion,Aion,AION,62,2.56761,0.0002768,1855110.0,246886750.0,96154303.0,465934587.0,,-0.72,13.52,-19.22,1520678055,1
ethos,Ethos,ETHOS,63,3.23793,0.00034906,3883190.0,246002257.0,75975162.0,222295208.0,,0.19,3.86,-33.66,1520678052,1
qash,QASH,QASH,64,0.690749,0.00007446,2959180.0,241762150.0,350000000.0,1000000000.0,,-0.46,13.9,-16.0,1520678056,1
factom,Factom,FCT,65,26.3859,0.00284449,2580950.0,230747387.0,8745102.0,8745102.0,,0.47,11.14,-26.6,1520678045,1
loopring,Loopring,LRC,66,0.404125,0.00004357,6740190.0,230669042.0,570786371.0,1374956262.0,,-0.54,11.84,-23.07,1520678053,1
nebulas-token,Nebulas,NAS,67,6.21095,0.00066956,7554490.0,220488725.0,35500000.0,100000000.0,100000000.0,-1.59,15.7,-22.18,1520678053,1
funfair,FunFair,FUN,68,0.0473082,0.00000510,1747630.0,217857794.0,4605074689.0,10999873621.0,,-1.81,19.38,-27.13,1520678051,1
revain,Revain,R,69,1.11059,0.00011972,4883000.0,204848326.0,184450000.0,484450000.0,484450000.0,-0.32,3.18,-35.21,1520678056,1
byteball,Byteball Bytes,GBYTE,70,300.332,0.0323768,1940450.0,193780830.0,645222.0,1000000.0,,0.42,3.11,-29.49,1520678048,1
particl,Particl,PART,71,21.7559,0.00234536,328960.0,193462193.0,8892401.0,8892401.0,,-0.58,6.02,-20.46,1520678051,1
aelf,aelf,ELF,72,0.766983,0.00008268,9035360.0,191745750.0,250000000.0,280000000.0,1000000000.0,-0.98,10.33,-35.32,1520678057,1
dentacoin,Dentacoin,DCN,73,0.000584197,0.00000006,474772.0,189996412.0,325226613094,1963173416169,8000000000000,-1.57,35.07,-12.14,1520678053,1
reddcoin,ReddCoin,RDD,74,0.00636197,0.00000069,3677090.0,183060290.0,28774151777.0,28774151777.0,,-0.73,10.11,-28.23,1520678041,1
salt,SALT,SALT,75,3.28375,0.000354,3503920.0,183041347.0,55741560.0,120000000.0,,-1.12,16.01,-26.88,1520678054,1
gxchain,GXChain,GXS,76,3.01035,0.00032452,5317510.0,180621000.0,60000000.0,100000000.0,100000000.0,-2.7,7.57,-24.0,1520678050,1
zcoin,ZCoin,XZC,77,42.1882,0.00454803,1138420.0,180361259.0,4275159.0,4275159.0,21400000.0,-1.26,12.87,-25.94,1520678048,1
kyber-network,Kyber Network,KNC,78,1.3232,0.00014265,5209170.0,177484385.0,134132697.0,215625349.0,,-0.67,11.76,-25.43,1520678053,1
kin,Kin,KIN,79,0.000232262,0.00000003,311299.0,175612732.0,756097560976,10000000000000,,0.21,5.21,-19.38,1520678053,1
chainlink,ChainLink,LINK,80,0.49388,0.00005324,3017940.0,172858000.0,350000000.0,1000000000.0,,-0.63,10.07,-25.24,1520678053,1
polymath-network,Polymath,POLY,81,0.712398,0.00007680,853279.0,170975342.0,239999750.0,1000000000.0,,0.05,26.51,-23.07,1520678059,1
dent,Dent,DENT,82,0.0153832,0.00000166,1383110.0,163288991.0,10614760961.0,100000000000,,-0.32,21.64,-31.28,1520678052,1
nxt,Nxt,NXT,83,0.163444,0.00001762,3293410.0,163280546.0,998999942.0,998999942.0,1000000000.0,-0.33,5.42,-17.31,1520678041,1
smartcash,SmartCash,SMART,84,0.208852,0.00002251,229289.0,162595616.0,778520749.0,1379565028.0,5000000000.0,1.45,17.89,-16.64,1520678051,1
iostoken,IOStoken,IOST,85,0.0188858,0.00000204,34753100.0,158640720.0,8400000000.0,21000000000.0,,-0.26,10.51,-45.17,1520678058,1
bancor,Bancor,BNT,86,4.02617,0.00043403,4082480.0,157123978.0,39025669.0,74279573.0,,-0.69,7.47,-19.48,1520678050,1
power-ledger,Power Ledger,POWR,87,0.428597,0.00004620,2888080.0,155980439.0,363932644.0,1000000000.0,,-0.89,9.66,-27.88,1520678056,1
neblio,Neblio,NEBL,88,11.9953,0.00129314,3534070.0,154624728.0,12890443.0,13641714.0,,-0.45,16.9,-25.17,1520678053,1
nexus,Nexus,NXS,89,2.75316,0.0002968,3397540.0,154337911.0,56058460.0,56058460.0,,0.34,3.53,-11.99,1520678044,1
iconomi,Iconomi,ICN,90,1.53981,0.000166,1474480.0,153574008.0,99735687.0,99735687.0,,-0.62,13.87,-33.87,1520678047,1
singularitynet,SingularityNET,AGI,91,0.293826,0.00003168,594718.0,153291974.0,521710040.0,1000000000.0,,-2.0,15.74,-24.67,1520678058,1
sirin-labs-token,SIRIN LABS Token,SRN,92,0.636491,0.00006862,12265100.0,145920672.0,229258029.0,573145073.0,,0.31,5.48,1.39,1520678057,1
request-network,Request Network,REQ,93,0.216573,0.00002335,1789680.0,143524442.0,662706996.0,999999999.0,,-1.11,13.23,-26.99,1520678054,1
enigma-project,Enigma,ENG,94,1.91538,0.00020648,3628310.0,143339705.0,74836171.0,150000000.0,,-0.42,18.06,-32.29,1520678054,1
tenx,TenX,PAY,95,1.35888,0.00014649,2061780.0,142222161.0,104661310.0,205218256.0,,0.69,13.7,-19.91,1520678050,1
bitcore,Bitcore,BTX,96,11.7565,0.00126739,1806170.0,141623781.0,12046424.0,16845856.0,21000000.0,-1.4,13.43,-28.58,1520678050,1
maidsafecoin,MaidSafeCoin,MAID,97,0.305364,0.00003292,1487470.0,138193215.0,452552412.0,452552412.0,,-0.89,12.09,-25.37,1520678042,1
emercoin,Emercoin,EMC,98,3.32766,0.00035873,615468.0,137996919.0,41469657.0,41469657.0,,0.1,3.35,-7.91,1520678043,1
blocknet,Blocknet,BLOCK,99,27.0633,0.00291752,237865.0,136617472.0,5048071.0,5048071.0,,-4.81,6.3,-27.77,1520678043,1
genesis-vision,Genesis Vision,GVT,100,36.2838,0.00391152,9934270.0,135221773.0,3726781.0,4436644.0,,-1.63,16.85,-1.6,1520678056,1
pillar,Pillar,PLR,101,0.593942,0.00006403,256675.0,135053383.0,227384800.0,800000000.0,,-2.13,20.55,-29.41,1520678051,1
cindicator,Cindicator,CND,102,0.0918358,0.00000990,2356060.0,132792417.0,1445976590.0,2000000005.0,,-1.93,12.74,-36.16,1520678054,1
storj,Storj,STORJ,103,0.958919,0.00010338,3409800.0,127944240.0,133425493.0,424999998.0,,-0.25,10.35,1.21,1520678051,1
gnosis-gno,Gnosis,GNO,104,109.875,0.0118449,467913.0,121366826.0,1104590.0,10000000.0,,-0.18,9.87,-20.9,1520678050,1
vertcoin,Vertcoin,VTC,105,2.74318,0.00029572,1482200.0,118700965.0,43271300.0,43271300.0,84000000.0,-0.35,10.11,-31.23,1520678041,1
gamecredits,GameCredits,GAME,106,1.76468,0.00019024,1075200.0,113566603.0,64355352.0,64355352.0,84000000.0,-1.34,8.17,-21.47,1520678043,1
achain,Achain,ACT,107,0.242183,0.00002611,4560550.0,110576089.0,456580723.0,1000000000.0,1000000000.0,0.4,18.67,-35.95,1520678052,1
quantstamp,Quantstamp,QSP,108,0.178671,0.00001926,2354730.0,110296140.0,617314171.0,976442388.0,,0.14,18.01,-23.88,1520678056,1
bitcoindark,BitcoinDark,BTCD,109,85.4601,0.00921289,109445.0,110146291.0,1288862.0,1288862.0,,-0.26,0.9,-22.26,1520678042,1
enjin-coin,Enjin Coin,ENJ,110,0.141687,0.00001527,3239900.0,107142652.0,756192535.0,1000000000.0,,-0.21,14.02,-23.62,1520678055,1
rlc,iExec RLC,RLC,111,1.29127,0.0001392,1887440.0,103393013.0,80070793.0,86999785.0,,-0.68,10.67,-8.53,1520678049,1
santiment,Santiment Network Token,SAN,112,1.63978,0.00017677,4708660.0,102749223.0,62660371.0,83337000.0,,-1.21,20.0,-23.69,1520678051,1
ignis,Ignis,IGNIS,113,0.134729,0.00001452,2974620.0,102548163.0,761143950.0,999449694.0,999449694.0,-0.68,5.5,-22.68,1520678057,1
civic,Civic,CVC,114,0.294691,0.00003177,4100420.0,100990596.0,342699966.0,1000000000.0,,-0.94,11.87,-18.66,1520678051,1
pura,Pura,PURA,115,0.578821,0.00006240,1653800.0,100155296.0,173033279.0,179815773.0,350000000.0,0.92,2.02,-3.07,1520678045,1
minexcoin,MinexCoin,MNX,116,28.939,0.00311972,207918.0,100052351.0,3457353.0,5770030.0,19000000.0,-1.08,13.1,17.43,1520678056,1
substratum,Substratum,SUB,117,0.441328,0.00004758,2729720.0,99780487.0,226091449.0,352000000.0,,-1.21,13.3,-19.38,1520678053,1
raiden-network-token,Raiden Network Token,RDN,118,1.98643,0.00021414,3371390.0,99657080.0,50168936.0,100000000.0,,-0.71,7.91,-29.38,1520678056,1
wax,WAX,WAX,119,0.19424,0.00002094,6830850.0,95751489.0,492954537.0,1850000000.0,,-1.97,14.87,-34.4,1520678057,1
paypie,PayPie,PPP,120,1.148,0.00012376,493806.0,94710000.0,82500000.0,165000000.0,165000000.0,-0.09,16.72,-3.77,1520678054,1
xpa,XPA,XPA,121,0.0943362,0.00001017,20422.9,94336200.0,1000000000.0,10000000000.0,,-0.46,12.6,-15.74,1520678054,1
aragon,Aragon,ANT,122,3.51753,0.0003792,706053.0,93918110.0,26700017.0,39609524.0,,0.05,12.65,-18.73,1520678050,1
theta-token,Theta Token,THETA,123,0.159248,0.00001717,19444700.0,93651158.0,588083732.0,1000000000.0,,-2.51,22.83,-19.51,1520678059,1
ubiq,Ubiq,UBQ,124,2.29416,0.00024732,286895.0,91579710.0,39918624.0,39918624.0,,-0.42,15.77,-17.18,1520678043,1
skycoin,Skycoin,SKY,125,11.9129,0.00128425,465168.0,91482661.0,7679294.0,25000000.0,100000000.0,-2.31,6.65,-23.3,1520678049,1
decentraland,Decentraland,MANA,126,0.0851208,0.00000918,6505180.0,89388885.0,1050141509.0,2644403343.0,,0.49,12.35,-24.97,1520678054,1
monaco,Monaco,MCO,127,6.7446,0.00072709,3191620.0,89066100.0,13205542.0,31587682.0,,-1.19,13.66,-26.97,1520678051,1
metal,Metal,MTL,128,3.99381,0.00043055,8186520.0,88832176.0,22242464.0,66588888.0,,-1.59,11.54,-26.75,1520678051,1
nav-coin,NavCoin,NAV,129,1.41316,0.00015234,635664.0,88388233.0,62546515.0,62546515.0,,-0.51,7.07,-24.15,1520678042,1
dynamic-trading-rights,Dynamic Trading Rights,DTR,130,0.073078,0.00000788,13772.4,86906473.0,1189228953.0,3750000000.0,,-0.36,8.76,-15.85,1520678057,1
zencash,ZenCash,ZEN,131,25.5264,0.00275184,706135.0,86373361.0,3383688.0,3383688.0,21000000.0,-0.69,7.13,-36.43,1520678051,1
salus,SaluS,SLS,132,84.8759,0.0091499,6829150.0,85743225.0,1010219.0,1010219.0,,-0.67,6.61,-1.48,1520678046,1
credits,Credits,CS,133,0.65634,0.00007076,4515910.0,84685987.0,129027618.0,249471071.0,,7.47,44.05,153.18,1520678060,1
digitalnote,DigitalNote,XDN,134,0.0120738,0.00000130,4015650.0,83272818.0,6896985042.0,6896985042.0,,-0.76,7.27,-33.89,1520678042,1
blockv,BLOCKv,VEE,135,0.0533394,0.00000575,3277230.0,79740867.0,1494971209.0,3646271241.0,,-3.54,17.46,-27.63,1520678057,1
poet,Po.et,POE,136,0.0354341,0.00000382,1345320.0,79259490.0,2236813969.0,3141592653.0,,0.24,15.3,-35.55,1520678052,1
nuls,Nuls,NULS,137,3.35566,0.00036175,6335070.0,79075733.0,23564882.0,40000000.0,,1.16,26.0,5.05,1520678054,1
arcblock,Arcblock,ABT,138,0.837652,0.00009030,36026300.0,77295777.0,92276718.0,186000000.0,,-2.64,8.32,-32.17,1520678060,1
asch,Asch,XAS,139,0.826768,0.00008913,1573970.0,77140864.0,93304124.0,114804124.0,,-1.48,17.89,-15.6,1520678049,1
experience-points,Experience Points,XP,140,0.000347041,0.00000004,465264.0,75880911.0,218651141432,253678348636,,12.44,17.3,-20.56,1520678047,1
high-performance-blockchain,High Performance Blockchain,HPB,141,3.2891,0.00035457,3396450.0,73072619.0,22216600.0,100000000.0,,-0.78,11.93,-35.05,1520678058,1
sophiatx,SophiaTX,SPHTX,142,0.37932,0.00004089,170610.0,72736040.0,191753771.0,350000000.0,,-0.16,15.01,-31.19,1520678057,1
storm,Storm,STORM,143,0.0177469,0.00000191,359259.0,72490885.0,4084706883.0,10000000000.0,,2.83,15.82,-41.77,1520678057,1
spacechain,SpaceChain,SPC,144,0.140725,0.00001517,1053250.0,72472208.0,514991707.0,1000000000.0,,1.3,71.82,-11.46,1520678059,1
bridgecoin,BridgeCoin,BCO,145,2.65531,0.00028625,45779.5,71693370.0,27000000.0,27000000.0,27000000.0,7.1,4.46,-31.22,1520678054,1
adx-net,AdEx,ADX,146,0.974561,0.00010506,10008400.0,71562697.0,73430701.0,100000000.0,100000000.0,-1.19,8.27,-23.49,1520678051,1
time-new-bank,Time New Bank,TNB,147,0.0308425,0.00000332,2946770.0,69753990.0,2261619182.0,5541877892.0,,0.1,17.94,-39.23,1520678056,1
fusion,Fusion,FSN,148,2.49854,0.00026935,810659.0,68930221.0,27588200.0,57344000.0,,1.04,8.71,-24.41,1520678059,1
ethlend,ETHLend,LEND,149,0.0636249,0.00000686,3803320.0,68589709.0,1078032485.0,1299999942.0,,0.26,21.16,-29.99,1520678056,1
oyster,Oyster,PRL,150,0.946202,0.000102,1145140.0,67432908.0,71266926.0,98592692.0,,1.07,21.38,-28.63,1520678056,1
telcoin,Telcoin,TEL,151,0.00250292,0.00000027,417297.0,67226872.0,26859377001.0,100000000000,,1.51,14.46,-24.55,1520678058,1
envion,Envion,EVN,152,0.63217,0.00006815,195935.0,66652158.0,105433916.0,127618703.0,,2.95,10.51,-13.28,1520678060,1
ion,ION,ION,153,3.22347,0.0003475,1230370.0,65333793.0,20268156.0,26168156.0,,-0.51,3.56,-17.37,1520678046,1
edgeless,Edgeless,EDG,154,0.791163,0.00008529,727179.0,64911978.0,82046276.0,132046997.0,,-1.75,2.77,-25.12,1520678049,1
poa-network,POA Network,POA,155,0.36638,0.00003950,5797390.0,64747612.0,176722560.0,252193195.0,,0.38,17.59,-20.75,1520678060,1
medibloc,MediBloc,MED,156,0.0217368,0.00000234,1592360.0,64479698.0,2966384100.0,4097545844.0,10000000000.0,1.1,25.91,-34.13,1520678057,1
c20,CRYPTO20,C20,157,1.62249,0.00017491,11540800.0,64095985.0,39504702.0,40656082.0,,-0.42,7.77,-18.52,1520678059,1
simple-token,Simple Token,OST,158,0.216995,0.00002339,1831650.0,62606476.0,288515753.0,800000000.0,,1.04,13.73,-26.95,1520678057,1
agoras-tokens,Agoras Tokens,AGRS,159,1.46769,0.00015822,1861480.0,61629750.0,41990986.0,41990986.0,42000000.0,-0.22,15.08,-33.2,1520678044,1
bluzelle,Bluzelle,BLZ,160,0.369535,0.00003984,8252260.0,60973275.0,165000000.0,500000000.0,,-0.56,20.91,-28.66,1520678059,1
medishares,MediShares,MDS,161,0.125995,0.00001358,3509210.0,60920076.0,483511857.0,2000000000.0,,-1.14,10.08,-44.54,1520678056,1
peercoin,Peercoin,PPC,162,2.46994,0.00026627,622094.0,60881857.0,24649124.0,24649124.0,,0.01,9.21,-21.18,1520678040,1
bitbay,BitBay,BAY,163,0.0586208,0.00000632,279522.0,59211515.0,1010076886.0,1010076886.0,,1.4,9.28,-30.42,1520678044,1
red-pulse,Red Pulse,RPX,164,0.108375,0.00001168,2482990.0,58885394.0,543348500.0,1358371250.0,,-0.85,14.58,-38.16,1520678055,1
vibe,VIBE,VIBE,165,0.294207,0.00003172,1818160.0,58816071.0,199913907.0,267000000.0,,-1.6,21.45,-31.95,1520678053,1
quantum-resistant-ledger,Quantum Resistant Ledger,QRL,166,1.12669,0.00012146,413679.0,58587880.0,52000000.0,65000000.0,105000000.0,0.01,15.54,-25.18,1520678050,1
dew,DEW,DEW,167,0.566788,0.00006110,226701.0,58517774.0,103244553.0,200000000.0,,0.11,11.48,-29.89,1520678057,1
burst,Burst,BURST,168,0.0320849,0.00000346,3872840.0,57763723.0,1800339818.0,1800339818.0,2158812800.0,1.25,22.29,-21.87,1520678043,1
sonm,SONM,SNM,169,0.160147,0.00001726,3238200.0,57588861.0,359600000.0,444000000.0,,-0.38,23.1,-28.34,1520678051,1
amber,Ambrosus,AMB,170,0.393902,0.00004246,763354.0,56954674.0,144590975.0,361477438.0,,-0.05,11.84,-33.57,1520678054,1
eidoo,Eidoo,EDO,171,1.93691,0.00020881,1035340.0,56676817.0,29261461.0,90208328.0,,2.38,17.99,-24.63,1520678055,1
melon,Melon,MLN,172,93.7904,0.0101109,377755.0,56217966.0,599400.0,749400.0,,0.18,6.75,-26.46,1520678048,1
spankchain,SpankChain,SPANK,173,0.184451,0.00001988,399343.0,55343303.0,300043386.0,1000000000.0,,2.71,9.28,-25.08,1520678056,1
wings,Wings,WINGS,174,0.608564,0.00006561,2412450.0,54593262.0,89708333.0,100000000.0,,0.03,9.85,-25.59,1520678048,1
bibox-token,Bibox Token,BIX,175,0.51755,0.00005579,6858610.0,54538418.0,105378066.0,271520349.0,,0.73,3.82,-27.23,1520678057,1
ripio-credit-network,Ripio Credit Network,RCN,176,0.110737,0.00001194,3909790.0,54120827.0,488733009.0,999942647.0,,-2.15,13.07,-23.25,1520678055,1
streamr-datacoin,Streamr DATAcoin,DATA,177,0.0795765,0.00000858,146198.0,53885586.0,677154514.0,987154514.0,,-0.76,5.93,-14.6,1520678055,1
cloakcoin,CloakCoin,CLOAK,178,10.1797,0.00109741,1715300.0,51942345.0,5102542.0,5102542.0,,1.37,9.64,-33.8,1520678042,1
library-credit,LBRY Credits,LBC,179,0.33304,0.00003590,687118.0,51007078.0,153156011.0,528056014.0,,-0.43,3.63,-33.98,1520678046,1
iot-chain,IoT Chain,ITC,180,1.04887,0.00011307,7846750.0,50977840.0,48602629.0,100000000.0,,0.71,22.0,-40.78,1520678057,1
mobilego,MobileGo,MGO,181,0.515814,0.00005561,197630.0,50564667.0,98028877.0,100000000.0,,-0.45,-6.96,-20.89,1520678050,1
ink,Ink,INK,182,0.108156,0.00001166,22256500.0,50174707.0,463910527.0,1000000000.0,1000000000.0,-1.43,7.5,-38.51,1520678056,1
universa,Universa,UTNP,183,0.0295152,0.00000318,211682.0,50128298.0,1698389232.0,4997891952.0,,-0.92,16.64,-25.55,1520678060,1
deepbrain-chain,DeepBrain Chain,DBC,184,0.0556519,0.00000600,1549740.0,50086710.0,900000000.0,10000000000.0,10000000000.0,0.84,12.87,-28.34,1520678057,1
